#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
      94  336.582430  -1.044271   51075.233628   51075.452943 284.205389   0.008360 336.582337  -1.050893
     125  350.469741  -1.252761   51081.255760   51081.494461 284.281467   0.008354 350.469667  -1.260403
     745  160.353128  -1.061524   51257.245736   51257.494010 287.729100   0.005897 160.353195  -1.056838
     752  145.143535  -1.267894   51258.200869   51258.495678 287.929000   0.005888 145.143639  -1.264333
     756  117.406386  -1.056321   51259.121345   51259.450179 287.957300   0.005886 117.406493  -1.055354
    1033  318.620772  -1.053273   51464.171742   51464.268767  95.000000   0.000000 318.620772  -1.053273
    1035    6.987864  13.730285   51464.309251   51464.381398  95.000000 -15.000000   6.931504  -1.261044
    1037   41.314424  -9.354641   51464.417745   51464.496525  95.000000  10.000000  40.766397  -1.261420
    1040  305.941747  -1.265767   51465.123448   51465.171546  95.000000   0.000000 305.941747  -1.265767
    1043    1.415963  13.917851   51465.293308   51465.385359  95.000000 -15.000000   1.520727  -1.053992
    1045   35.710830  -9.678778   51465.406545   51465.494034  95.000000  10.000000  35.233236  -1.054311
    1056  325.919060  -1.291598   51467.282943   51467.374578  95.000000   0.000000 325.919060  -1.291598
    1122  126.146467  -1.269326   51582.313963   51582.358744  95.000000   0.000000 126.146467  -1.269326
    1140  154.442325  -3.209566   51586.355062   51586.497283  95.000000  -2.500000 154.489635  -1.056159
    1231  170.799173  -3.687776   51606.402258   51606.485600  95.000000  -2.500000 170.825671  -1.264006
    1239  121.936888  -1.266684   51607.195900   51607.268462  95.000000   0.000000 121.936888  -1.266684
    1241  139.908212  -3.031925   51607.286968   51607.357042  95.000000  -2.500000 139.974622  -1.265825
    1331  111.976551  29.517333   51638.168269   51638.276074  95.000000  65.000000 128.644682  -1.263998
    1332  147.840201  58.154304   51638.295191   51638.319240  95.000000  65.000000 166.410258  -1.266315
    1336  250.892026  64.238950   51638.383990   51638.419649  95.000000  80.000000 208.376895  -1.056384
    1339  250.402770  64.197113   51638.434758   51638.470002  95.000000  80.000000 208.320522  -1.265806
    1345  116.757315  36.520150   51639.128455   51639.401701  95.000000  65.000000 136.709743  -1.058899
    1350  112.023798  32.552983   51640.119983   51640.308642  95.000000  67.500000 131.277783  -1.264889
    1356  254.132262  66.910616   51640.372207   51640.414915  95.000000  82.500000 206.500222  -1.055967
    1359  253.723941  66.750085   51640.438924   51640.482045  95.000000  82.500000 206.587872  -1.265492
    1402  112.570323  33.860994   51659.148041   51659.227236  95.000000  67.500000 132.647338  -1.052606
    1412  137.390385  56.989535   51661.178501   51661.335649  95.000000  67.500000 161.269531  -1.055553
    1450  121.778484  45.539031   51667.218162   51667.261284  95.000000  67.500000 146.287533  -1.055285
    1453  244.213615  49.284108   51667.376464   51667.416269  95.000000  67.500000 219.089088  -1.054631
    1458  169.811161   1.357154   51668.242517   51668.444444  95.000000   2.500000 169.812885  -1.055551
    1462  128.938487   0.129378   51669.144428   51669.420162  95.000000   2.500000 128.917905  -1.266158
    1478  210.443935   3.249957   51674.358636   51674.443222  95.000000   5.000000 210.406747  -1.266299
    1659  306.585232  -6.347294   51790.182520   51790.302763  95.000000  10.000000 307.136340  -1.058978
    1666  348.965801 -10.884973   51792.391200   51792.468737  95.000000  10.000000 349.257903  -1.265135
    1729  348.969531 -10.887927   51813.270895   51813.474481  95.000000  10.000000 349.261705  -1.267910
    1737  308.662159  -6.865794   51814.103651   51814.158383  95.000000  10.000000 309.253558  -1.270119
    1739  315.694852   8.831246   51814.209652   51814.339019  95.000000 -15.000000 316.467441  -1.057952
    1740  358.215841 -10.989637   51814.347788   51814.412471  95.000000  10.000000 358.339679  -1.058034
    1741   22.514561 -10.604224   51814.422551   51814.442453  95.000000  10.000000  22.209048  -1.057640
    1749  308.293168   7.068161   51817.122805   51817.193708  95.000000 -15.000000 308.929617  -1.268339
    1752   26.758075  -1.056348   51818.342237   51818.480311  95.000000   0.000000  26.758075  -1.056348
    1755  314.690870  -1.287811   51819.227830   51819.480758  95.000000   0.000000 314.690870  -1.287811
    1869   31.800388 -10.004822   51868.277499   51868.300718  95.000000  10.000000  31.365942  -1.057358
    1889  114.839096  30.805684   51874.355805   51874.410121  95.000000  62.500000 131.086425  -1.265541
    1891  349.605813 -10.707775   51875.065670   51875.091792  95.000000  10.000000 349.877682  -1.058560
    1893   29.943142 -10.146606   51875.130783   51875.177637  95.000000  10.000000  29.531544  -1.060157
    1894   32.643078  -1.268811   51875.187542   51875.255957  95.000000   0.000000  32.643078  -1.268811
    1895  127.588482  44.380691   51875.321209   51875.413258  95.000000  62.500000 147.966045  -1.059528
    1896  150.589723  56.283872   51875.437444   51875.495906  95.000000  62.500000 166.714026  -1.267603
    1897  124.810971  -0.023498   51875.508078   51875.523005  95.000000   2.500000 124.786553  -1.266034
    1904  338.545318  12.426964   51878.154072   51878.302925  95.000000 -15.000000 339.206665  -1.055798
    1907  124.235245   0.165108   51878.393521   51878.478105  95.000000   2.500000 124.218286  -1.055708
    1992  151.470183   1.026357   51901.443582   51901.518216  95.000000   2.500000 151.469805  -1.057736
    2074  130.152492  46.038609   51935.217090   51935.273895  95.000000  62.500000 150.409230  -1.268893
    2075  123.793987  40.765433   51935.291591   51935.308178  95.000000  62.500000 143.401601  -1.265261
    2076  113.208027  29.015438   51935.330710   51935.392491  95.000000  62.500000 128.814605  -1.054680
    2078  164.429228  62.189136   51935.424630   51935.498849  95.000000  65.000000 175.562571  -1.265095
    2125  120.497874   0.886209   51960.148671   51960.280524  95.000000   5.000000 120.482878  -1.266702
    2126  120.842708   1.125814   51960.290023   51960.468731  95.000000   5.000000 120.845493  -1.054926
    2131  112.074588  24.698993   51961.100247   51961.149588  95.000000  60.000000 124.694025  -1.265829
    2134  202.561167  62.621161   51961.378901   51961.422023  95.000000  65.000000 192.977726  -1.265338
    2137  112.528470  25.675063   51962.098277   51962.207740  95.000000  60.000000 125.732360  -1.056767
